year,category,laureates,shared_count
1990,Physics,"['Jerome I. Friedman', 'Henry W. Kendall', 'Richard E. Taylor']",3
1990,Physiology or Medicine,"['Joseph E. Murray', 'E. Donnall Thomas']",2
1991,Chemistry,['Richard R. Ernst'],1
1991,Economic Sciences,['Ronald H. Coase'],1
1991,Literature,['Nadine Gordimer'],1
1991,Peace,['Aung San Suu Kyi'],1
1991,Physics,['Pierre-Gilles de Gennes'],1
1991,Physiology or Medicine,"['Erwin Neher', 'Bert Sakmann']",2
1992,Chemistry,['Rudolph A. Marcus'],1
1992,Economic Sciences,['Gary S. Becker'],1
1992,Literature,['Derek Walcott'],1
1992,Peace,['Rigoberta Menchú Tum'],1
1992,Physics,['Georges Charpak'],1
